City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bel ombre,-4.6167,55.4167,80.44,69,40,11.5,SC,1686708703
84,talnakh,69.4865,88.3972,38.21,92,99,7.47,RU,1686708703
85,geraldton,-28.7667,114.6,55.81,76,40,13.8,AU,1686708703
86,plastun,44.7561,136.2939,66.76,67,58,5.7,RU,1686708703
87,neryungri,56.6709,124.6491,52.36,53,71,12.08,RU,1686708704
88,goondiwindi,-28.55,150.3167,62.96,33,0,11.83,AU,1686708704
89,reynosa,26.0833,-98.2833,87.96,77,40,21.85,MX,1686708607
90,saldanha,-33.0117,17.9442,60.51,84,100,27.74,ZA,1686708704
91,onega,63.9061,38.1404,49.41,90,65,2.59,RU,1686708705
92,yellowknife,62.456,-114.3525,62.64,49,25,3.47,CA,1686708594
93,jiujiang,29.7333,115.9833,82.06,56,95,4.88,CN,1686708705
94,kapuskasing,49.4169,-82.4331,60.89,100,100,4.61,CA,1686708705
95,college,64.8569,-147.8028,64.38,37,75,13.8,US,1686708493
96,egilsstadir,65.2653,-14.3948,37.31,93,0,4.61,IS,1686708705
97,bredasdorp,-34.5322,20.0403,58.26,85,99,26.6,ZA,1686708409
98,saipan,15.1355,145.701,88.5,100,20,13.8,MP,1686708706
99,las trojes,14.0667,-85.9833,70.57,92,95,3.02,HN,1686708706
100,grand falls-windsor,48.9332,-55.6649,46.51,78,0,1.61,CA,1686708706
101,skovorodino,53.9833,123.9167,62.17,28,3,8.88,RU,1686708707
102,freetown,8.484,-13.2299,77.95,85,100,4.63,SL,1686708431
103,wailua homesteads,22.0669,-159.378,82.83,83,100,14.97,US,1686708707
104,awjilah,29.1081,21.2869,72.73,61,0,6.78,LY,1686708707
105,damara,4.9608,18.7035,69.46,98,70,2.17,CF,1686708707
106,ventspils,57.3894,21.5606,44.53,100,0,0.0,LV,1686708707
107,utrik,11.2278,169.8474,82.11,82,61,19.95,MH,1686708708
108,thompson,55.7435,-97.8558,55.6,46,15,8.19,CA,1686708522
109,hawaiian paradise park,19.5933,-154.9731,78.31,80,100,11.5,US,1686708708
110,lublin,51.0,23.0,53.22,96,100,4.7,PL,1686708708
111,san carlos,9.6612,-68.5827,74.43,94,70,2.33,VE,1686708708
112,jining,35.405,116.5814,88.97,26,0,1.9,CN,1686708709
113,toulepleu guere,6.574,-8.4259,70.34,98,100,2.46,CI,1686708709
114,maumere,-8.6199,122.2111,81.37,62,97,1.81,ID,1686708709
115,port elizabeth,-33.918,25.5701,66.31,44,0,13.8,ZA,1686708709
116,blackmans bay,-43.0167,147.3167,54.73,76,98,2.42,AU,1686708709
117,basco,20.4487,121.9702,80.51,92,100,24.85,PH,1686708709
118,anadyr,64.75,177.4833,43.3,52,40,35.01,RU,1686708710
119,ghanzi,-21.5667,21.7833,44.78,54,0,3.96,BW,1686708710
120,zhanga buqtyrma,49.6295,83.5248,58.06,74,41,12.64,KZ,1686708710
121,kutum,14.2,24.6667,74.17,68,100,9.55,SD,1686708710
122,olyokminsk,60.3736,120.4264,64.15,31,100,13.04,RU,1686708710
123,kill devil hills,36.0307,-75.676,69.98,86,0,3.44,US,1686708711
124,sao paulo de olivenca,-3.3783,-68.8725,73.53,98,19,2.95,BR,1686708711
125,isangel,-19.55,169.2667,78.91,65,100,4.61,VU,1686708711
126,tazacorte,28.629,-17.9293,67.17,73,20,9.22,ES,1686708711
127,kodiak,57.79,-152.4072,54.91,54,100,6.91,US,1686708480
128,san pedro de ycuamandiyu,-24.0917,-57.0764,49.14,49,100,5.03,PY,1686708711
129,na wa,17.4897,104.1006,83.19,74,100,11.1,TH,1686708712
130,martuk,50.7475,56.5056,64.13,40,100,15.43,KZ,1686708712
131,hilo,19.7297,-155.09,78.53,79,100,11.5,US,1686708528
132,lompoc,34.6391,-120.4579,66.02,77,14,10.0,US,1686708712
133,polyarnyy,69.1989,33.4478,44.69,72,10,17.54,RU,1686708712
134,sabang,5.8933,95.3214,83.98,70,91,16.42,ID,1686708713
135,port lincoln,-34.7333,135.8667,61.43,71,31,18.61,AU,1686708713
136,nantucket,41.2835,-70.0995,64.54,88,100,10.36,US,1686708713
137,papatowai,-46.5619,169.4708,52.48,63,99,2.1,NZ,1686708713
138,akureyri,65.6835,-18.0878,40.93,93,0,0.0,IS,1686708713
139,udachny,66.4167,112.4,64.45,29,100,2.62,RU,1686708714
140,port douglas,-16.4833,145.4667,76.28,72,43,5.75,AU,1686708714
141,nizhnesortymskiy,62.4397,71.7603,57.33,74,97,15.05,RU,1686708714
142,enewetak,11.3474,162.3373,82.04,81,100,19.62,MH,1686708714
143,lobujya,27.95,86.8167,34.36,84,95,3.15,NP,1686708715
144,carnarvon,-24.8667,113.6333,64.09,33,0,16.82,AU,1686708715
145,nefteyugansk,61.0998,72.6035,56.73,75,99,13.69,RU,1686708715
146,puerto baquerizo moreno,-0.9,-89.6,78.12,79,98,17.78,EC,1686708715
147,kirando,-7.4167,30.6,72.93,57,31,9.15,TZ,1686708715
148,san fernando,15.0286,120.6898,88.59,67,89,8.75,PH,1686708716
149,tshabong,-26.05,22.45,47.07,47,0,7.31,BW,1686708716
150,diamantino,-14.4086,-56.4461,51.35,81,100,9.55,BR,1686708716
151,uzgen,40.7699,73.3007,72.82,34,100,2.53,KG,1686708716
152,la passe,45.5549,-0.8967,67.98,88,43,7.45,FR,1686708717
153,chop,48.432,22.2055,53.1,91,68,1.92,UA,1686708717
154,tolanaro,-25.0319,46.9987,64.31,57,0,4.41,MG,1686708717
155,ulladulla,-35.35,150.4667,61.65,41,0,12.86,AU,1686708717
156,nur-sultan,51.1801,71.446,51.75,66,0,11.18,KZ,1686708717
157,dudinka,69.4058,86.1778,38.62,96,100,9.22,RU,1686708718
158,isabela,6.7085,121.9711,81.61,78,100,4.94,PH,1686708718
159,igrim,63.1906,64.4162,61.14,65,98,10.29,RU,1686708718
160,maxixe,-23.8597,35.3472,63.52,83,0,1.61,MZ,1686708718
161,ancud,-41.8697,-73.8203,45.41,90,100,5.7,CL,1686708490
162,hadibu,12.65,54.0333,82.27,78,100,24.05,YE,1686708719
163,brezina,33.0989,1.2608,72.1,51,2,20.15,DZ,1686708719
164,labrador city,52.9463,-66.9114,64.31,45,40,3.44,CA,1686708719
165,leh,34.1667,77.5833,51.12,57,29,3.53,IN,1686708719
166,ilulissat,69.2167,-51.1,33.82,86,75,0.0,GL,1686708631
167,yoichi,43.2039,140.7703,66.13,82,41,4.85,JP,1686708720
168,lihue,21.9789,-159.3672,83.44,79,100,14.97,US,1686708720
169,conceicao do araguaia,-8.2578,-49.2647,74.26,65,12,1.92,BR,1686708720
170,arauca,7.0847,-70.7591,75.11,91,87,1.88,CO,1686708720
171,barentu,15.1139,37.5928,71.98,68,53,7.43,ER,1686708721
172,saint-pierre,-21.3393,55.4781,71.56,64,0,5.75,RE,1686708721
173,vilyuchinsk,52.9306,158.4028,79.07,51,18,3.09,RU,1686708721
174,port alfred,-33.5906,26.891,66.18,49,41,8.99,ZA,1686708154
175,atherton,53.5237,-2.4935,60.3,59,3,1.01,GB,1686708721
176,sydney mines,46.2367,-60.2177,55.99,87,75,8.05,CA,1686708722
177,luderitz,-26.6481,15.1594,54.0,71,0,8.9,NA,1686708565
178,uacu cungo,-11.3634,15.1208,57.69,89,14,1.74,AO,1686708722
